codigo;descricao;unidade;peso_medio;estoque;preco
36978;ACEM CONG LUARA;KG;25,00;0;31,99
37290;ACEM EM CUBOS CG  1580 BOI FORTE;KG;20,00;0;34,99
37282;ACEM EM CUBOS CG AMACIADA 1535 BOI FORTE;KG;16,00;0;34,99
37288;ACEM EM CUBOS CG PADRAO 1169 BOI FORTE;KG;16,00;0;34,99
34901;ACEM EM CUBOS FRIGOSPOL;KG;10,00;0;35,99
34903;ACEM EM ISCAS FRIGOSPOL;KG;10,00;0;35,99
36859;BABY BEEF CG (MIOLO DE ALCATRA) MASTERBOI;KG;23,00;0;45,99
36535;BIFE ANCHO  CONG PUL SELECTION MINERVA  1343/1283;KG;15,00;0;52,99
36861;BIFE ANCHO CG MASTERBOI;KG;14,90;0;52,99
37141;BIFE ANCHO CONG FRIGORACA;KG;14,90;0;52,99
32954;BIFE ANCHO 70111 BOA CARNE CONG;KG;25,00;0;52,99
37142;BIFE DE CHORIZO CONG FRIGORACA;KG;25,00;0;44,23
36473;BIFE DE CHORIZO MATURADO 12374 ESTANCIA92 CONG;KG;11,50;0;62,90
36528;BIFE DE CHORIZO PUL SELECTION 9706  MINERVA  CONG;KG;11,50;0;51,99
33075;BIFE DO VAZIO PACU 850202 HIPER CARNES;KG;25,00;0;36,99
26990;BUCHO BOVINO CONG. 22101 BOI BAIO;KG;20,00;0;15,99
34881;BUCHO CG BOI DOURADO;KG;25,00;0;15,99
37252;BUCHO CONG MATOSO;KG;22,00;0;15,99
29243;CAPA DE FILE 18954 VC MONTANA CG;KG;26,00;0;30,99
30908;CARNE BOVINA SECA DESFIADA 6KG ALFAMA 00467;KG;6,00;0;64,24
36716;CARNE MOIDA BOV 00838 9KG ALFAMA;KG;9,00;0;29,99
35458;CARNE MOIDA CONG 28  /31022 COOPERBOI;KG;12,00;0;19,49
32427;CARNE MOIDA PATINHO 1307 BOI FORTE 12KG;KG;12,00;0;20,49
34800;CARNE SECA DESFIADA COSTELATA 12184;KG;10,00;0;64,99
35062;CONTRA FILE C/ NOIX FRIGORACA;KG;24,90;0;42,75
36470;CONTRA FILE PORCIONADO 62285 PUL MINERVA CG;KG;14,00;0;44,46
36292;CORACAO DA ALCATRA PUL (0098) CONG;KG;25,00;0;41,04
36604;CORACAO DA ALCATRA 500026880 BABY BEEF VP;KG;25,00;0;51,30
36630;CORACAO DA ALCATRA 89950 MATURADO MINERVA CON;KG;25,00;0;64,99
36761;CORDAO DO FILE MIGNON BEAUVALLET RESF;KG;25,00;0;34,99
36203;CORDAO DO FILE MIGNON CONG CRUZEIRO DO SUL;KG;22,00;0;34,99
33664;CORDAO DO FILE MIGNON CONG PLENA 311102;KG;22,00;0;35,99
36943;COSTELA BOV C/O EM CUBOS 50X50 ALFAMA 6KG;KG;6,00;0;29,99
28601;COSTELA BOVINA DESFIADA ALFAMA 6KG 0461;KG;6,00;0;64,24
34802;COSTELA BOVINA DESFIADA COSTELATA 12185;KG;10,00;0;64,99
36178;COSTELA DE RIPA CONG FRIGOBOM 10053;KG;21,00;0;24,99
27646;COSTELA DE RIPA 3403 MATABOI;KG;25,00;0;22,99
27002;COSTELA DE RIPA 41502 PLENA;KG;22,00;0;22,49
31319;COSTELA JANELA OURO BOA CARNE 80018;KG;21,00;0;26,99
33330;COSTELA JANELA 20401 FRIGOBOM;KG;18,00;0;24,99
27946;COSTELA MINGA OURO BOA CARNE;KG;20,00;0;24,36
