codigo;descricao;unidade;peso_medio;estoque;preco
25132;ACEM BOV CONG;CX;26 KG;30;37,17
200121;ACEM BOV RESF;CX;25 KG;156;37,17
25150;ACEM BOV RESF;CX;24 KG;26;33,98
99202;ACEM (SHORT RIB) BOV CONG;CX;12 KG;23;105,57
220008;ALCATRA COM MAMINHA BOV RESF;CX;24 KG;3;41,79
21010;ALCATRA COM MAMINHA BOV RESF;CX;23 KG;1;45,09
20332;ALCATRA COM MAMINHA BOV RESF;CX;22 KG;102;41,79
20430;ALCATRA COM MAMINHA BOV RESF;CX;24 KG;67;41,02
20002;ALCATRA COMPLETA GRILL BOV RESF;CX;24 KG;20;43,22
282020;ARANHA (RECORTE DE ALCATRA) BOV CONG;CX;23 KG;41;38,39
240014;ARANHA (RECORTE DE ALCATRA) BOV CONG;CX;26 KG;9;39,49
107902;ARANHA (RECORTE DE ALCATRA) BOV RESF;CX;24 KG;13;34,64
107120;ASSADO DE TIRAS GRILL BOV CONG;CX;10 KG;93;61,49
2126;BABY BEEF DA ALCATRA BOV RESF;CX;14 KG;70;58,19
22101;BANANINHA BOV RESF;CX;25 KG;8;39,49
20903;BIFE CHORIZO GRILL BOV RESF;CX;24 KG;2;53,88
21136;BIFE DE CHORIZO CONTRA FILÉ GRILL BOV;CX;11 KG;29;53,67
27006;BIFE DE CHORIZO GRILL NOV J BOV RESF;CX;25 KG;15;58,19
107144;BIFE DO VAZIO (PACU) BOV CONG;CX;24 KG;63;40,59
210401;BUCHO RUMEN BOV CONG;CX;24 KG;1;19,69
107268;CAPA DE COXAO MOLE BOV CONG;CX;20 KG;2;39,26
283;CAPA DE COXAO MOLE BOV RESF;CX;24 KG;137;35,74
250311;CAPA DE FILE BOV RESF;CX;23 KG;118;34,64
286;CAPA DE FILE BOV RESF;CX;25 KG;64;35,19
2302;CAPA DE FILE BOV RESF;CX;21 KG;31;37,29
22047;CAPA DE FILE BOV RESF;CX;23 KG;134;35,16
230100;CAPA DE FILE BOV RESF;CX;25 KG;5;36,18
25055;CARNE DE SANGRIA BOV CONG;CX;25 KG;3;26,29
107050;CARNE INDUSTRIAL BOV CONG;CX;25 KG;130;24,19
107022;CONTRA FILE COM NOIX BOV CONG;CX;24 KG;125;48,39
22117;CONTRA FILE COM NOIX BOV RESF;CX;30 KG;78;49,49
26285;CONTRA FILE COM NOIX BOV RESF;CX;25 KG;59;43,44
20403;CONTRA FILE COM NOIX BOV RESF;CX;22 KG;1;43,89
20008;CONTRA FILE COM NOIX BOV RESF;CX;23 KG;148;49,49
221019;CONTRA FILE GRILL BOV RESF;CX;22 KG;2;58,19
2218;CONTRA FILE MATURADO CONG;CX;15 KG;14;87,99
220701;CONTRA FILE PORCIONADO BOV RESF;CX;27 KG;60;47,08
20443;CONTRA FILE SEM NOIX BOV RESF;CX;22 KG;15;51,59
21503;CONTRA FILE SEM NOIX BOV RESF;CX;26 KG;369;49,38
20453;CONTRA FILE SEM NOIX BOV RESF;CX;21 KG;129;49,49
28005;CONTRA FILE SEM NOIX GRILL BOV RESF;CX;22 KG;37;54,99
26330;CONTRA FILE SEM NOIX GRILL BOV RESF;CX;24 KG;80;49,38
26592;CONTRA FILE SEM NOIX GRILL BOV RESF;CX;22 KG;57;54,99
107080;CORACAO BOV CONG;CX;24 KG;41;15,06
107180;CORACAO DA ALCATRA BOV CONG;CX;26 KG;44;44,98
20515;CORACAO DA ALCATRA BOV RESF;CX;22 KG;111;43,99
2088;COSTEL TRASEI EM TIRAS C/OSSO INTERF BOV;CX;24 KG;35;29,59
2371;COSTELA BOV MINGA BLACK ANGUS CONG;CX;19 KG;4;36,23
25225;COSTELA BOV DO TRASEIRO EM TIRAS CONG;CX;21 KG;17;26,39
230002;COSTELA BOV DO TRASEIRO EM TIRAS CONG;CX;25 KG;14;26,29
23301;COSTELA DO TRASEI MINGA C/OSSO BOV CONG;CX;24 KG;78;27,39
2506;COSTELA DO TRASEIRO EM TIRAS BOV CONG;CX;26 KG;114;27,39
28018;COSTELA JANELA GRILL BOV CONG;CX;22 KG;37;30,69
2822;COSTELA MINGA COM OSSO CONG;CX;23 KG;98;28,49
